sample_id,symbol,timeframe,candle_ts,setup_type,side,ema_alignment,rsi,stoch_rsi,macd_hist,volume_ratio,volume_trend,atr_pct,market_structure,distance_support,distance_resistance,change_pct,position_in_period_range,ema9,price_vs_ema9,ema21,price_vs_ema21,ema50,price_vs_ema50,ema200,price_vs_ema200,ema50_vs_ema200,macd_line,macd_signal,macd_cross,bb_width_pct,bb_position,obv_trend,candle_type,engulfing,last_3_candles,result_r
BTCUSDT_minute15_1778036400_trend_pullback,BTCUSDT,minute15,1778036400,trend_pullback,LONG,1.0,55.09176272174175,92.28981141795003,,0.5114336048964063,-1.0,0.002721481918116748,HH_HL (uptrend),0.16101397011285729,0.16052232440259617,0.04906572224373512,56.5387167242297,81226.84443983683,0.1631918130973873,81201.70965277204,0.19419584624788583,81190.10917442554,0.20851163681866414,80458.4686076232,1.1197471291312033,1.0,2.2828775160305668,,0,0.9070853776008737,83.96478995878456,1,inverted_hammer,,bull → bull → bull,2.0
BTCUSDT_minute15_1770532200_trend_pullback,BTCUSDT,minute15,1770532200,trend_pullback,LONG,1.0,51.638194128338924,79.80861747929451,,0.5656620950962062,0.0,0.0032494665645159985,HH_HL (uptrend),0.24984087258116336,0.16309658348740907,-0.060727401761514796,24.87169602513369,69259.10627242473,0.036087279955597254,69248.41235568098,0.05153568595294879,69231.7591375118,0.07560238702621622,69191.30238040304,0.13411746332910573,1.0,6.400080995052122,,0,0.5445676751784482,57.40030095408986,1,bear,,bull → bull → bear,2.0
BTCUSDT_minute15_1778037300_trend_pullback,BTCUSDT,minute15,1778037300,trend_pullback,LONG,1.0,60.80090205918663,100.0,,1.6330058092774136,0.0,0.0028661333160735925,HH_HL (uptrend),0.10628034720698079,0.20679924537275607,0.26708653210323935,57.108577812394266,81296.81555186947,0.34427479874897954,81235.79968433821,0.4196429615839767,81205.26959895786,0.457396918791708,80469.59528814437,1.3758049955282192,1.0,31.45659733080538,,0,0.9951236597602593,106.71845357806443,1,bull,,bull → bull → bull,-1.0
BTCUSDT_minute15_1770533100_trend_pullback,BTCUSDT,minute15,1770533100,trend_pullback,LONG,1.0,53.182892182140264,93.96051152195865,,0.6255539079554432,0.0,0.003174813244930153,HH_HL (uptrend),0.304089045581625,0.10862383838850535,0.054413638915706615,24.970562859113453,69271.6450179398,0.0724033362383982,69255.08395970997,0.09633378010031216,69235.29015172704,0.1249505101854598,69192.60086418012,0.18672391875179656,1.0,11.379560365865473,,0,0.5399731254893396,67.80807838548054,1,bull,,bull → bear → bull,2.0
BTCUSDT_minute15_1778038200_trend_pullback,BTCUSDT,minute15,1778038200,trend_pullback,LONG,1.0,57.99469890146789,86.8379426553171,,0.7409252515514175,1.0,0.0028190447121577786,HH_HL (uptrend),0.012147254168402882,0.3012273634691576,-0.09414452901380285,56.90717269701903,81337.43244149558,0.19974512795357377,81259.80880394383,0.29546118750467926,81216.82373233206,0.3485438787915049,80479.84707632204,1.2674637946448888,1.0,47.828524851443944,,0,1.06020754340934,91.23994972838692,1,bear,,bull → bull → bear,-1.0
BTCUSDT_minute15_1770534000_trend_pullback,BTCUSDT,minute15,1770534000,trend_pullback,LONG,1.0,54.15335733593092,100.0,,1.244304142776964,1.0,0.0031598621740481793,HH_HL (uptrend),0.3374432186891629,0.07513158843464679,0.03346710558582883,25.031403987716384,69286.31601435185,0.08469780040837672,69263.25814519088,0.11801618491260404,69239.59249871814,0.15223587759245735,69194.11727349176,0.2180571592695778,1.0,17.001892518310342,,0,0.5304931295717529,74.83624787381459,1,hammer,,bear → bull → bull,2.0
BTCUSDT_minute15_1778039100_trend_pullback,BTCUSDT,minute15,1778039100,trend_pullback,LONG,1.0,58.951092484776204,91.32375728814792,,0.6104967061093117,1.0,0.0027568699429795763,HH_HL (uptrend),0.05629422131845504,0.25694203412239275,0.04417183333967281,57.00158134485116,81377.12595319646,0.19510893871436483,81284.9080035853,0.30878056281201277,81229.33652714257,0.37740487115142807,80490.35506561237,1.29896921629348,1.0,62.982274050213164,,0,1.1359402663427043,89.89389434302075,1,bull,,bull → bear → bull,-1.0
BTCUSDT_minute15_1770534900_trend_pullback,BTCUSDT,minute15,1770534900,trend_pullback,LONG,1.0,57.33113913018896,100.0,,1.3480369147134108,1.0,0.0031013748053034967,HH_HL (uptrend),0.03644356864641436,0.020742584526044522,0.11161583387409933,25.23438258055547,69313.53281148148,0.15706483871571508,69277.72558653716,0.2088325103602328,69246.76142033703,0.2536415798521068,69196.38874340727,0.3266229072023068,1.0,27.38745881988143,,0,0.5440795353269956,94.37859675611332,1,bull,,bull → bull → bull,2.0
BTCUSDT_minute15_1778040000_trend_pullback,BTCUSDT,minute15,1778040000,trend_pullback,LONG,1.0,59.101515989883346,89.84081933115633,,0.5025085512380824,1.0,0.0026740965584217086,HH_HL (uptrend),0.06291290425833647,0.21461517047189582,0.006622849566888612,57.01574264202601,81409.96076255717,0.161330672822586,81308.21636689572,0.28666676446635225,81241.57038882325,0.36893625977715605,80500.81222913862,1.2925183511188927,1.0,74.5678920942737,,0,1.2043757389944263,86.2781872924544,1,doji,,bear → bull → bull,-1.0
BTCUSDT_minute15_1773064800_rsi_divergence,BTCUSDT,minute15,1773064800,rsi_divergence,SHORT,1.0,65.63819301755012,62.01315028514167,,1.8307393935801448,1.0,0.005388034602370444,HH_HL (uptrend),0.523822743267256,,-0.20017435476407716,23.607144636670924,68544.02423646607,0.3762191765168285,68167.08821805641,0.9312584687685613,67722.1644419628,1.594360674875531,67598.89633635637,1.7796202731739301,1.0,359.6728313345084,,0,2.853960288092498,86.53341305985613,-1,bear,,bull → bear → bear,-1.0
